"중복관련표기","연번","사용대상","유형별","학교급","학교급-하위","자료명","자료소개(자료 내 문장 활용)","발행기관","자료링크","발행연도","연계자료 여부","연계자료 연번 ","연계자료 대상","자료활용자","자료활용자(주의사항 및 참고사항 표기)","연계자료가 있는경우, 행추가하여 바로 아래 행에 기록바랍니다!
연번란은 비워두면 제가 1-1,1-2 순으로 정리하겠습니다.","","","","","","","","","","","",""
"","11","교사","교육자료","모든 학교","","학교폭력 가해학생 특별교육 프로그램(학생용)","교육부와 한국교육개발원에서 개발한 학교폭력 가해학생 대상 특별교육 프로그램 자료입니다.","교육부/ 한국교육개발원
(서울특별시교육청 탑재)","https://buseo.sen.go.kr/buseo/bu15/user/bbs/BD_selectBbs.do?q_rowPerPage=10&q_currPage=2&q_sortName=&q_sortOrder=&q_searchKeyTy2=1005&q_searchStartDt=&q_searchEndDt=&q_bbsSn=1331&q_bbsDocNo=20240227094758695&q_searchKeyTy=ttl___1002&q_searchVal=%ED%8F%AD%EB%A0%A5&","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","12","교사","교육자료","모든 학교","","학교폭력 가해학생 특별교육 프로그램(보호자용)","교육부와 한국교육개발원에서 개발한 학교폭력 가해학생 보호자 대상 특별교육 프로그램 자료입니다.","교육부/ 한국교육개발원
(서울특별시교육청 탑재)","https://buseo.sen.go.kr/buseo/bu15/user/bbs/BD_selectBbs.do?q_rowPerPage=10&q_currPage=2&q_sortName=&q_sortOrder=&q_searchKeyTy2=1005&q_searchStartDt=&q_searchEndDt=&q_bbsSn=1331&q_bbsDocNo=20240227094626351&q_searchKeyTy=ttl___1002&q_searchVal=%ED%8F%AD%EB%A0%A5&","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","13","교사","교육자료, 활동지","초등","초등 저학년, 초등 고학년","단위학교 특별교육 프로그램(내 마음의 매듭 풀기-초등용)","학교폭력 가해학생 및 보호자를 대상으로 하는 학생용·보호자용·학생 및 보호자용 특별교육 프로그램입니다.
학교폭력 이해, 자기탐색, 관계회복, 계획과 다짐의 4개 영역별 지도안과 활동자료를 제공합니다.","경기도교육청","자료실 | 경기도교육청","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"","14","교사","교육자료, 활동지","중등(중,고)","중학교, 고등학교","단위학교 특별교육 프로그램(내 마음의 매듭 풀기-중등용)","학교폭력 가해학생 및 보호자를 대상으로 하는 학생용·보호자용·학생 및 보호자용 특별교육 프로그램입니다.
자기탐색, 관계회복, 계획과 다짐의 3개 영역별 지도안과 활동자료를 제공합니다.","경기도교육청","자료실 | 경기도교육청","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"","15","교사","기타","모든 학교","","위기 유형별 상담 매뉴얼","이 자료는 학교폭력, 대인(또래)관계, 학교 부적응, 자해·자살, 우울, ADHD, 인터넷 과몰입, 성폭력 문제 등 다양한 위기유형에 대한 이해, 위기개입의 필요성 및 목적, 개념, 그리고 유형별 상담개입 및 치료전략을 수록한 상담 매뉴얼입니다.","교육과학기술부/ 한국교육개발원/ 대전광역시교육청","https://www.wee.go.kr/board/view?&menuKey=Nkf0nC3AjF&bbsId=BOARD00015&schType=0&schText=&boardStyle=&ctgryNo=&cntntNm=&pstOtptCnt=0&ntnNm=&pageNum=4&rowCnt=10&no1=32&regNo=0vkWzQncGG","","없음","","","전문인력","","","","","","","","","","","","","",""
"","16","교사","기타","모든 학교","","학교를 위한 아동학대 회복지원 안내서","학생정신건강지원센터에서 제작한 자료로, 교사의 아동학대에 대한 이해를 돕고 의심 상황에서의 적절한 대응 방법을 안내합니다. 교사와 학생정신건강 관련 분야 종사자(Wee센터 등)를 대상으로 아동학대의 징후를 이해하고, 신고 및 지원 절차 등 현장에서 필요한 대응 방안을 소개합니다.","학생정신건강지원센터
(서울Weepl 탑재)","https://drive.google.com/open?id=1Y7HB3NA4EXPQhJ_aZD0471e-p647Kazu","2020~2024","","","","전문인력","","","","","","","","","","","","","",""
"","17","교사","동영상","모든 학교","","교사를 위한 아동학대 대처 및 회복지원 연수 - 2차시. 아동학대의 개념과 피해 사례","학생정신건강지원센터에서 제작한 동영상 자료로, 아동학대의 개념과 신체학대·정서학대·성학대·방임 등 유형별 특징을 실제 사례를 통해 설명합니다. 또한 아동학대가 의심되는 상황에서 교사가 확인해야 할 사항과 신고 절차, 피해 아동을 보호하고 지원하기 위한 학교의 역할을 안내합니다.","학생정신건강지원센터
(서울Weepl 탑재)","https://www.youtube.com/watch?v=NuK3J4dYbvE","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"","18","교사","카드뉴스 및 뉴스레터","모든 학교","","교사용 뉴스레터 - 아동의 부정적 경험(학대)은 어떤 영향을 미칠까요?","학생정신건강지원센터에서 제작한 뉴스레터 자료로, 학대를 포함한 아동기 부정적 경험이 아동·청소년의 신체적·정서적 발달과 학교생활에 미치는 영향을 안내합니다. 또한 아동기 부정적 경험이 의심될 때 교사가 할 수 있는 일과 피해 학생을 보호하고 지원하는 과정에서 주의해야 할 사항을 소개합니다.","학생정신건강지원센터
(서울Weepl 탑재)","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=139&orderBy=FRST_JOB_DT&searchOption=&searchWord=&contsType=T&mtCd=&htnCdList=","2015~2019","","","","전문인력","","","","","","","","","","","","","",""
"충청남도교육청 개발자료(1번)","19","교사","교육자료, 활동지","모든 학교","","학교폭력 보호자 특별교육 프로그램","학교폭력 가해학생 보호자의 역할 점검과 대처능력 향상을 돕는 총 20회기(기본 13회기, 심화 7회기)의 프로그램입니다.
마음알기(감정 이해), 이해하기(발달단계), 돌아보기(양육태도와 의사소통) 등의 단계로 구성되어 있습니다.","충청남도교육청","http://www.cne.go.kr/boardCnts/view.do?boardID=877&boardSeq=2293408&lev=0&searchType=S&statusYN=W&page=1&s=cne&m=082203&opType=N&superSeq=&tabType=null","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"충청남도교육청 개발자료(3번)","20","교사","교육자료","모든 학교","","학교폭력 특별교육 프로그램 운영 PPT","학교폭력 가해학생 대상 특별교육 프로그램 운영 ppt자료(초, 중등)입니다.","충청남도교육청","http://www.cne.go.kr/boardCnts/view.do?boardID=877&boardSeq=2245587&lev=0&searchType=null&statusYN=W&page=4&s=cne&m=082203&opType=N","","","","","누구나","","","","","","","","","","","","","",""
"충청남도교육청 개발자료(4번)","21","교사","교육자료, 기타","모든 학교","","학교폭력 프로그램 운영 안내서","이 자료는 학교폭력 가해학생의 선도·보호와 예방을 위해 초등학생과 중·고등학생용으로 나누어 치유(4회기)·교육(3회기)·성장(3회기) 단계의 총 10회기(10시간)로 구성한 학교폭력 특별교육 프로그램 활용 안내서입니다. 초등 부록으로 활용 가능한 영상자료 목록도 포함되어 있습니다.","충청남도교육청","http://www.cne.go.kr/boardCnts/view.do?boardID=877&boardSeq=2245581&lev=0&searchType=null&statusYN=W&page=4&s=cne&m=082203&opType=N","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"충청남도교육청 개발자료(11번)","22","교사","교육자료, 활동지","모든 학교","초등 저학년, 초등 고학년, 중학교, 고등학교","마음나무 키우기","이 자료는 학생들 간 친밀감 형성 및 관계 갈등 회복을 위해 초등학생(저학년, 고학년)·중학생·고등학생용으로 나누어 관계 새싹 틔우기(4회기)·관계새싹 키우기(4회기)·관계 열매 맺기(4회기) 단계의 총 12회기로 구성한 집단활동 프로그램입니다.
","충청남도교육","학생생활자료실","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","23","교사","기타","중등(중,고)","","성폭력 피해 청소년 상담개입 프로그램 개발","성폭력 피해 청소년 및 현장전문가 심층면접을 바탕으로 외상초점 인지행동치료기반의 단계별 개인·보호자 상담 매뉴얼과 위기 개입 방안을 개발하고 검증한 보고서입니다. 71페이지 매뉴얼 세부내용을 활용바랍니다. ","한국청소년상담복지개발원","https://www.kyci.or.kr/fileup/lib_pdf/2019-146.pdf","2015~2019","없음","","","전문인력","","","","","","","","","","","","","",""
"","24","누구나","기타","","","아동학대 예방 및 대처요령 교육부문 가이드북","아동학대 예방과 사안 발생 시 대응 절차, 아동학대 사안처리, 피해아동과의 대화법, 피해지원과 연계등 교육현장에서 활용할 수 있는 다양한 정보를 담은 참고자료입니다.","교육부/유스메이트","자료실 | 경기도교육청","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","25","교사","교육자료","중등(중,고)","중학교, 고등학교","청소년 언어폭력예방 프로그램 매뉴얼","청소년을 대상으로 한 언어폭력 예방 교육자료입니다.","한국청소년상담복지개발원","https://kyci.step.or.kr/usrs/bbs/usrsBbsPstDtlForm.do","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
